Retail sales of electricity monthly,
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=g000000002&endsec=o&linechart=ELEC.SALES.US-ALL.M~~&columnchart=ELEC.SALES.US-ALL.M&map=ELEC.SALES.US-ALL.M&freq=M&start=200101&end=202101&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=ELEC.SALES.TX-ALL.M~ELEC.SALES.TX-RES.M
16:17:44 GMT-0500 (Central Daylight Time),
Source: U.S. Energy Information Administration,
Month,Electricity Price
Jan-21,321218.7318
Dec-20,310827.6381
Nov-20,272926.1893
Oct-20,292142.2744
Sep-20,318002.0696
Aug-20,364212.1732
Jul-20,374733.9753
Jun-20,315651.0564
May-20,270485.764
Apr-20,258144.7084
Mar-20,285177.0623
Feb-20,290120.0592
Jan-20,311318.3714
Dec-19,309822.6908
Nov-19,285532.0415
Oct-19,308241.2055
Sep-19,340462.8012
Aug-19,372574.0872
Jul-19,376094.8207
Jun-19,321461.6049
May-19,296801.7362
Apr-19,273899.8377
Mar-19,301852.6932
Feb-19,295797.6932
Jan-19,328609.251
Dec-18,312139.711
Nov-18,290507.0998
Oct-18,309113.587
Sep-18,337262.5487
Aug-18,381130.6293
Jul-18,375023.4271
Jun-18,338082.9854
May-18,303248.0075
Apr-18,278467.9877
Mar-18,296999.3043
Feb-18,292732.2857
Jan-18,344477.6874
Dec-17,312215.782
Nov-17,283347.0006
Oct-17,299539.479
Sep-17,321725.8102
Aug-17,360262.6192
Jul-17,367613.0216
Jun-17,328582.6146
May-17,291870.5377
Apr-17,272801.1577
Mar-17,291443.637
Feb-17,275777.1355
Jan-17,318177.1791
Dec-16,310722.2258
Nov-16,277316.9804
Oct-16,296680.6705
Sep-16,336752.0861
Aug-16,381192.3281
Jul-16,372172.2681
Jun-16,329877.9052
May-16,284707.6415
Apr-16,269531.2373
Mar-16,285812.359
Feb-16,296805.7632
Jan-16,320890.1648
Dec-15,297343.5565
Nov-15,275916.5288
Oct-15,296055.3462
Sep-15,332957.8753
Aug-15,362031.7681
Jul-15,362938.0669
Jun-15,326396.8979
May-15,288090.6994
Apr-15,275475.1208
Mar-15,305351.7692
Feb-15,306768.4401
Jan-15,329666.3203
Dec-14,309619.6928
Nov-14,285412.5826
Oct-14,296679.7844
Sep-14,326907.1212
Aug-14,351882.992
Jul-14,351523.9846
Jun-14,322791.98
May-14,291420.869
Apr-14,275893.6669
Mar-14,302388.1881
Feb-14,308941.133
Jan-14,341238.2723
Dec-13,316474.5348
Nov-13,281494.3241
Oct-13,294370.2587
Sep-13,323477.8563
Aug-13,353579.5937
Jul-13,358700.9281
Jun-13,320200.6614
May-13,289398.4331
Apr-13,277781.9075
Mar-13,297226.0309
Feb-13,291480.364
Jan-13,320682.9285
Dec-12,297288.1239
Nov-12,278211.9228
Oct-12,290735.4579
Sep-12,318089.7077
Aug-12,364784.7166
Jul-12,370962.7008
Jun-12,325159.8693
May-12,296968.169
Apr-12,270759.6024
Mar-12,283731.2068
Feb-12,286982.9245
Jan-12,310975.3842
Dec-11,301844.1973
Nov-11,275235.1639
Oct-11,288132.8882
Sep-11,326247.2217
Aug-11,372719.8281
Jul-11,370691.9132
Jun-11,328707.3319
May-11,287992.7478
Apr-11,275203.878
Mar-11,292051.8589
Feb-11,296903.498
Jan-11,334115.6532
Dec-10,319047.6951
Nov-10,274900.0686
Oct-10,287839.7957
Sep-10,327742.3364
Aug-10,371769.3141
Jul-10,369017.7193
Jun-10,330893.2009
May-10,283729.2674
Apr-10,267052.1291
Mar-10,292511.3508
Feb-10,298459.728
Jan-10,331878.763
Dec-09,310291.0496
Nov-09,268157.8538
Oct-09,287116.3085
Sep-09,310563.3062
Aug-09,344845.1952
Jul-09,337878.0715
Jun-09,305520.4699
May-09,275275.9768
Apr-09,265463.6461
Mar-09,283807.8262
Feb-09,286251.463
Jan-09,321623.9671
Dec-08,308916.1287
Nov-08,278330.4098
Oct-08,291762.0743
Sep-08,321906.2107
Aug-08,351856.4284
Jul-08,360426.5676
Jun-08,328592.4972
May-08,288276.0576
Apr-08,277963.4168
Mar-08,294625.338
Feb-08,305094.919
Jan-08,326214.571
Dec-07,307704.2724
Nov-07,286299.3057
Oct-07,307782.6495
Sep-07,337524.565
Aug-07,373364.8239
Jul-07,352642.3156
Jun-07,323006.591
May-07,292800.2589
Apr-07,275340.507
Mar-07,291660.3484
Feb-07,301331.3147
Jan-07,315103.76
Dec-06,300119.1567
Nov-06,277181.9685
Oct-06,291186.1057
Sep-06,317282.1001
Aug-06,368633.7648
Jul-06,362386.7702
Jun-06,321839.8897
May-06,287198.134
Apr-06,268208.3046
Mar-06,289970.2595
Feb-06,281046.4159
Jan-06,304865.9703
Dec-05,307342.6734
Nov-05,274585.467
Oct-05,297626.3086
Sep-05,330923.3839
Aug-05,362543.6852
Jul-05,355514.1389
Jun-05,319380.9227
May-05,273500.2507
Apr-05,264167.9361
Mar-05,286791.1186
Feb-05,279513.8195
Jan-05,309078.8086
Dec-04,300049.8776
Nov-04,270162.9278
Oct-04,281736.7246
Sep-04,308565.8326
Aug-04,330926.5284
Jul-04,333907.0436
Jun-04,307772.3589
May-04,279035.8259
Apr-04,262850.9894
Mar-04,278181.5577
Feb-04,286433.3517
Jan-04,307856.4649
Dec-03,293836.1422
Nov-03,262976.7014
Oct-03,277380.2158
Sep-03,306589.9045
Aug-03,341819.2785
Jul-03,334208.6931
Jun-03,290449.8823
May-03,268788.0908
Apr-03,256709.9851
Mar-03,274473.4193
Feb-03,282239.5747
Jan-03,304262.5985
Dec-02,286462.3962
Nov-02,263033.5892
Oct-02,284177.9622
Sep-02,310497.8832
Aug-02,338114.5183
Jul-02,337284.6768
Jun-02,296469.7725
May-02,269323.294
Apr-02,257946.3751
Mar-02,267459.8005
Feb-02,263728.2631
Jan-02,290967.48
Dec-01,268610.9113
Nov-01,253033.6636
Oct-01,267558.7956
Sep-01,295925.2527
Aug-01,332192.6524
Jul-01,315798.0544
Jun-01,290008.1386
May-01,264490.4917
Apr-01,254390.9355
Mar-01,269298.4014
Feb-01,272334.738
Jan-01,310816.0688
